index,additionalInformation,assesmentMethods,availableEnglish,cefrLevel,code,content,courseStatus,courseUnitId,credits,endDate,gradingScale,homepage,id,languageOfInstruction,languageOfInstructionCodes,learningOutcomes,level,literature,name,organizationId,prerequisities,registration,startDate,substitutes,teacherInCharge,teachers,teachingPeriod,type,workload
0,"Compulsory attendance in all class sessions and meetings. Most Master¿s Programme studies have to be completed before you can enroll on the Capstone course. The maximum number of students is 50, but only eligible candidates will be admitted even if the maximum number is not reached. Credit transfer and capstone course Students can, on legitimate grounds (Eg. exchange studies abroad, serious illness; however, working life and its restraints are not considered legitimate reasons not to complete the capstone course), apply for a credit transfer for a capstone course. However, as a deviation from the common process of credit transfer at the School of Business, the application for credit transfer must be submitted before completing the course represented to substitute the capstone course at the School of Business. The credit transfer should be applied for according to the credit transfer instructions depicted at Into: https://into.aalto.fi/display/enmasterbiz/Credit+transfer. Based on the credit transfer application, the teacher in charge of the capstone course will decide whether the learning goals for the capstone course can be fulfilled by completing the course the student has represented to substitute the capstone course. The substituting course cannot be a School of Business course.",100 % assignments (group and individual),True,,20E99904,"The course consists of an applied, real-life problem-based project/case that students identify, analyze and solve in multi-disciplinary teams. It also focuses on developing the students¿ self-awareness of the key learnings during their studies in the Master¿s Program.","Mandatory course in the Master¿s programs of Business Law, Corporate Communication, Entrepreneurship & Innovation Management and Management & International Business",1125574316,6,2018-11-28,0 (fail) -5 (excellent),https://mycourses.aalto.fi/course/search.php?search=20E99904,1133537977,English,['en'],"After completing the course, students will be able to identify, analyse and solve real-life business problems from a multi-disciplinary viewpointapply the knowledge and skills gained during their studies to real-life business tasks and challengesmanage complex projects and work in diverse teamspresent a case report both orally and in writingcritically reflect on their learning process and outcomes",Advanced specialisation studies. Most Master¿s Program studies have to be completed before one can enroll on Capstone,,Capstone: Business Development Project,E701,Most Master¿s Programme studies have to be completed before one can enroll on the Capstone course.,via WebOodi.,2018-09-19,"Students can replace this capstone course by participating in Hackathon course: 57E00700 Capstone: Digital ISM Challenge. CEMS MIM students can replace this capstone with 42E05400 CEMS Business Project. Capstone 20E99904 subsitutes the old courses 21E99904 Capstone: Business Development Project (Management and International Business), 25E99904 Capstone: Business Development Project (Entrepreneurship), 32E99904 Capstone: Business Development Project (Business Law), 75E99904 Capstone: Business Development Project (Corporate Communication)",Perttu KähäriNina GranqvistPaulina JunniGregory O'SheaPekka PälliIiris Saittakari,"['Perttu Kähäri', 'Laura Peni', 'Pekka Pälli', 'Iiris Saittakari', 'Patrick Shulist', 'Nina Granqvist']","Periods I-II Töölö campus, periods IV-V Otaniemi campus (2018-2019) Periods I-II, IV-V (2019-2020), Otaniemi campus a 10-week course organised both in the spring and in the fall",course,Contact teaching :10-15 h (incl. closing seminar with presentations)Independent work in teams and individually:145 - 150 h
1,The minimum number of participants is 20,Learning diaries 50%Take-home exam 50%,True,,21C00150,"This introductory course gives a basic understanding of business operations to students from other fields. It covers the key elements of the different functions of a firm: management, accounting, finance, marketing, and operations, as well as the broader societal context in which firms operate. The course will help students see how different functions of the firm form an interrelated whole. This understanding will help students in their own careers in different firms and organizations, regardless of their own area of expertise.",Degree Elective,1130843834,3,2019-03-29,0-5 (fail ¿ excellent),https://mycourses.aalto.fi/course/search.php?search=21C00150,1133538748,English,['en'],"By the end of this course, students will be able to:¿    understand key elements of the business environment and how they impact businesses ¿    understand the foundations of business operations, including key elements of accounting, finance, marketing, operational management, strategic management, and organizational communication",BSc. Open to students from all Aalto schools except from the Aalto School of Business.,To be announced,Introduction to business,E706,,Via WebOodi,2019-02-27,,"DSc Christa Uusi-Rauva, Professor Ingmar Björkman","['Alice Wickström', 'Ingmar Björkman']","2018-2019; IV, Otaniemi Campus 2019-2020: no teaching",course,Lectures: 33 hoursLearning diaries: 24 hoursTake-home exam: 23 hours
2,Max. 100 students. Priority for management students.,Final exam: 40%Assignments: 30%Learning diary: 25% Article watch: 5%,True,,21C00350,"Throughout this course, we will be covering different topics related to HRM. We will start by examining the context, challenges and role of HRM. We will discuss concepts such as diversity and equality and focus on HR planning and job analysis. Then, we will look at various HR practices within the employment cycle, including recruitment and selection, compensation management, performance management, training and development, safety and health and employee relations. Also, we will highlight the importance of employee engagement and how to minimize employee turnover.",Bachelor: Management HR specialization area Compulsory HR track,1125857456,6,2018-12-13,0-5,,1133538764,English,['en'],- describe the relationship between HRM and organizational performance by critically evaluating empirical evidence- analyze the relationship between HR practices and their outcomes for the individual and the organization- know the elements of the HR function and be familiar with each element's key concepts & terminology- apply the principles and techniques of human resource management to the discussion of major personnel issues and the solution of typical case problems,Intermediate,"Slides, articles, case studies etc. provided during class: tbaNo compulsory book",Human Resource Management,E706,It is recommended that the students have basic knowledge in organizational behavior theories and concepts.,WebOodi,2018-10-30,21C00300 Henkilöstöjohtaminen,Kathrin Sele,['Kathrin Sele'],"Period II (2018-2019), Otaniemi campusPeriod II (2019-2020), Otaniemi campus",course,"Lectures 30h presence (obligatory classroom presence)Class preparation 30h (pre-readings, article watch, etc.)Assignments 30h (group work)Learning diary 30h (individual)Exam preparation 37hExam 3hTotal 160h (6 ECTS)"
3,,,True,,21C03000,The course is taught by a visiting lecturer and topics can vary by year.,B.Sc. Management minor  ,1133021737,3-6,2019-02-15,0-5,,1135110840,English,['en'],Students will develop an advanced understanding of a current topics in leadership.,,,Current Issues in Leadership,E706,,via WebOodi,2019-01-09,,The course is taught by a visiting lecturer. 2018-2019: Frank Martela,['Mikko Martela'],"2018-2019: III, Otaniemi campusNo teaching 2019-2020",course,
4,,50% reflective learning diary50% final essay exam,True,,21C10000,"Must know: the concepts of ""concept and context"", Creation of Shared Value, ecosystems",Aalto-course Management minor elective course  ,1121603277,6,2019-02-19,0-5,https://mycourses.aalto.fi/course/search.php?search=21C10000,1133538787,English,['en'],"This course has three interlinked goals. After completing the course, the students should be able to understand: ¿ how the mechanisms and processes of the interaction and interrelationship between business and society work¿ how the dialogue between the companies and the society can be constructed so as to be beneficial to the both parties ¿ how the companies' relationship to the surrounding society can and should be an integral part of their overall business strategy",Intermediate studies,"Preparatory and additional readings (articles, reports, newspaper texts, case studies) TBA",Business and Society,E706,No specific prerequisites for attending the course.,Via Weboodi,2019-01-08,,Esko Aho Kirsti Iivonen,"['Esko Aho', 'Kirsti Iivonen']",Period III (2018-2019)Period III (2019-2020),course,Attending lectures 24h (not compulsory but highly necessary for good grades)Preparing for the lectures 24hWriting the learning diary 35hStudying additional readings 30hPreparing for the exam 44hWriting the exam 3hTotal 160h (6 cr)
5,"Priority to BIZ students; other Aalto students added to the course in order of registration. Maximum of 50 students. Because grades involve a participation component, students should be prepared to attend classes and to engage in discussion.",40% exam 50% assignments 10% participation,True,,21C23000,"Each year, thousands of the best and brightest students start their careers at companies known for intense work cultures, including Amazon, Goldman Sachs, and McKinsey. After years of dedication, only few will obtain the attractive prizes ¿ partnership, a VP role, or a spot on the executive team. This course is designed to help you grasp the unwritten rules of the corporate game of who wins these prizes, and who gets filtered out. The basic idea is that corporate careers resemble tournaments rather than marathons. Many contestants compete for few prizes, and those who fail to advance in earlier rounds don¿t get to compete in later ones. We¿ll use organizational theory and cases to answer questions such as why consultancies prefer ¿insecure overachievers¿ to experienced job candidates, why companies pay enormous sums for celebrity CEOs, and whether technical skill or impression management matter more moving up the corporate hierarchy. Understanding this helps us figure out our real position in an organization, the people and situations we are likely to encounter, and the type of contestant we want to be (if one at all).",Management minor elective  ,1132617804,6,2018-10-24,0-5,,1133538813,English,['en'],"After completing this course, you will be able to: 1) identify organizational tournaments that attract, select, and eliminate contestants 2) use workplace information to determine your prospects for advancement 3) describe tactics used in organizational tournaments - managing impressions, overcoming dependence, networking, and taking credit 4) develop a strategy to decide which tournaments you want to be a part of, and what kind of player you want to be",Intermediate,"a) Bowe, J., Bowe, M., & Streeter, S. 2001. Gig: Americans talk about their jobs. New York: Three Rivers Press. b) A variety of other readings will be made available during the course.",Managing Corporate Careers,E706,,,2018-09-10,,Derin Kent,['Derin Kent'],"Period I (2018-2019), Otaniemi campus Period I (2019-2020), Otaniemi campus",course,Contact teaching 15h Independent work 142h Exam 3h Total = 160h (6 ECTS)
6,"Compulsory active participation in class (5/8) The course is designed to facilitate students¿ master¿s thesis processes, therefore it is recommended that the participants have a preliminary thesis topic when registering for the course. The course is open only to the students of the department of Management. The course is not open for exchange students.",100% assignments,True,,21E00011,"The course covers the basic epistemological underpinnings of qualitative research as well as a range of qualitative methodologies (ethnography, action research, case study etc.). The course focuses on the process of doing qualitative research starting from defining the research questions and proceeding to designing the study i.e. which qualitative methodologies as well as data gathering and analysis methods fit with the research question.",Master's programme in Management and International Business: compulsory common studies Master's programme in Creative Sustainability: Compulsory research methods  Master's progarmme in Global Management: Management and International Business specialization area mandatory studies. Master's programme in Strategy: mandatory studies,1113172843,6,2018-12-03,0-5,https://mycourses.aalto.fi/course/search.php?search=21E00011,1133537985,English,['en'],"Students will demonstrate knowledge of: ¿ The basic epistemological underpinnings of qualitative research. ¿ A range of qualitative methodologies (ethnography, action research, case study etc.). ¿ A range of qualitative methods of data collection (interview, field notes etc.) and analysis (thematic analysis, narrative analysis etc.). ¿ The practical challenges of undertaking fieldwork. Students will develop the following skills: ¿ The ability to design qualitative research and argue for the choices made ¿ The competence to collect qualitative data `in the field¿. ¿ The aptitude to analyze qualitative data manually. ¿ The capacity to critically reflect on both the content and process of a research project and to identify potential ethical issues. ¿ The proficiency to discuss and write about qualitative research in a clear and concise manner.",Advanced studies,"Material and readings provided by the teacher. Eriksson, Päivi & Kovalainen, Anne (2008) Qualitative methods in business research. ISBN 978-1-4129-0316-5 Availability",Doing Qualitative Research,E706,The course is designed for students who are working on / starting to work on their thesis. Please DO NOT register for the course if you are not ready to work on your thesis.,WebOodi,2018-10-29,This course can be substituted with 80E80100 Business Research Methods.,Saija Katila,['Saija Katila'],"Period II, Töölö Campus and IV Otaniemi Campus (2018-2019) Period II and IV (2019-2020) Otaniemi Campus",course,Contact teaching 24 h Independent work 136 h Total 160 h
7,"The course is restricted to 50 students (including quotas for students from the Open University and Joo-studies). Priority list: 1. MIB/Strategy/Global Management/CS/IDBM, 2. MIB minor students, 3. Other BIZ students, 4. Other Aalto students. There is compulsory attendance the day your group is presenting. Students are further strongly encouraged to be present during the first class.",Assignments 100 %,True,,21E00012,"The course provides an overview of gender and diversity issues in management, organizations and labour market and focuses especially on doing gender (and diversity) approach in understanding gender and diversity in organizations. Various societal and organizational images and practices are examined from the perspective of how they privilege certain categories of people while excluding others. The course looks at these issues in different contexts ranging from everyday experiences to gendered practices in the global economy. The possibilities for change are explored by considering forms of interventions for changing exclusionary practices.","M.Sc. degree, elective course in common studies in Management and International Business. CEMS course",1113202815,6,2019-04-04,0-5,https://mycourses.aalto.fi/course/search.php?search=21E00012,1133537990,English,['en'],"This course raises awareness and deepens understanding of the significant role of gender and diversity in contemporary work organizations. It offers multiple perspectives to analyze issues of gender and diversity at the levels of identity, organizational practices and society. The course provides students with conceptual and practical tools to critically examine social and organizational practices of exclusion and inclusion. The course further develops students¿ reflective skills in detecting how they, and the organizations they are participating in are doing gender and diversity. Moreover, students learn how they can act as change agents in making exclusionary practices visible and creating inclusive workplaces. During the course students will also develop their writing, group working as well as presentation skills.",Advanced studies.,Articles indicated in the syllabus.,Gender and Diversity at Work,E706,,Via WebOodi one week before the start of the teaching period.,2019-02-26,"21E80000 Gender, Management and Organizations. It is possible to include only one of these courses to the Master¿s degree.",Saija KatilaKirsi Eräranta,"['Kirsi Eräranta', 'Saija Katila']",Period IV (2018-2019) Otaniemi campusPeriod IV (2019-2020) Otaniemi campus,course,Contact teaching 24 h Independent work 136 h Total 160 h (ECTS)
8,"The course is restricted to 50 students (including quotas for students from the Open University and Joo-studies). Priority list: 1. MIB/Strategy/Global Management/CS/IDBM,2. MIB minor students,3. CEMS students,  4. Other BIZ and exchange students, 5. Other Aalto students.",Assignments 100%,True,,21E00029,"The course offers a theoretically grounded and practically relevant overview of the key themes in Mergers and Acquisitions (M&A) and specifically in post-merger integration (PMI). Building upon a theoretical understanding of organizational changes and M&A-specific concepts and frameworks, the course concentrates on the various problems and challenges in M&A and PMI. These include strategic integration and synergies, cultural challenges, identity-building, cognitive and emotional dynamics of inter-firm collaboration, politics, communication and learning.",Master¿s Programme in Management and International BusinessStrategy Work specialization areaAalto course,1129318458,6,2019-05-23,0-5,https://mycourses.aalto.fi/course/view.php?id=16183,1133537995,English,['en'],"The course provides the students with an up-to-date understanding of theories and practices of M&A that will help them to understand the nature of M&As and plan and implement post-merger integration successfully. Upon completing the course, the students should be able to: 1.    Understand the challenges that organizational members involved in mergers and acquisitions are confronted with;2.    Analyze the M&A process with its challenges and dilemmas from different theoretical angles; 3.    Learn to develop an integration plan for M&As that would allow maximizing strategic synergies, while minimizing cultural challenges and risks;4.    Be able to assess and manage the complex dynamics in unfolding M&A integration.",Advanced studies,A reading package consisting of academic and popular articles.,Managing Mergers and Acquisitions,E706,Completing basic courses on strategic management before this advanced level course (such as TU-91.1011 or 21C00100 or 21E00030) is recommended.,WebOodi.,2019-04-16,,Natalia VuoriAlexei Koveshnikov,"['Paulina Junni', 'Alexei Koveshnikov']","Period V 2018-2019, Otaniemi campusPeriod V 2019-2020, Otaniemi campus",course,Contact teaching    30hIndependent work    130hTotal    160h (6 ECTS)
9,   All Aalto students are welcome but BIZ including CEMS students have priority if participation must be restricted.,"20% of evaluation: Participating in and preparing for course sessions 80% of evaluation: Essay work Course requires active participation in all sessions. Max. 1 absence is allowed for a good reason, it must be approved by the teacher.",True,,21E00032,Core content of the course is to give a comprehensive theoretical and practical understanding on why innovation is critical for the economy and business and what are the challenges and methods to succeed. This is given by theoretical lectures by the teacher and practical presentations given by business leaders who have the responsibility to manage the innovation processes in corporations.,Elective course in the Master's programme in Management and International Business,1116420822,6,2018-12-07,0-5,https://mycourses.aalto.fi/course/search.php?search=21E00032,1133538013,English,['en'],"A general understanding of innovation, innovation processes and innovation management, in different contexts, and their role in society and in business strategy. Understand how innovation can (and cannot) be fostered, managed or steered, and which policies, processes and tools are needed, offering case-based insights in what works and what does not. Understand how innovation is related to other functional business areas such as finance, marketing, buying, customer relations and to the over-all business design. Understand specific issues and topics in fostering and managing innovation, e.g. technology platforms and innovation strategies, innovation in inter-organizational networks, service innovation, user driven innovation, collaboration in innovation, open innovation arrangements such as IP management, business model innovation, etc.",Advanced studies.,"Preferred reading: C.M. Christensen and M.E. Raynor: The Innovator¿s Solution, Harvard Business School Press, 2003J. Fagerberg, D.C. Mowery and R.R Nelson: The Oxford Handbook of Innovation, Oxford University Press, 2005Industrial Innovation in transition Horizon 2020 project http://www.iit-project.eu/   Background reading: A. Osterwalder and Y. Pigneur: Business Model Generation, John Wiley & Sons, 2010 (ISBN-10: 0470876417)H. Chesbrough: Open Business Models, Harvard Business School Press, 2006H.R. Varian, C. Shapiro: Information Rules. A Guide to the Network Economy. Harvard Busienss SChoool Press, 1999. http://mbauninorte.files.wordpress.com/2009/08/information-rules.pdf C. M. Christensen: The Innovator¿s Dilemma: When New Technologies Cause Great Firms to Fail. Harvard Business School Press 1997. http://csinvesting.org/wp-content/uploads/2012/07/the_innovators_dilemma.pdf A. Gawer and M. Cusumano, Platform Leadership: How Intel, Microsoft and Cisco Drive Industry Innovation. Harvard Busienss School Press, 2002.A. Afuah: Innovation Management Strategies, Oxford University Press, 2003B. von Stamm: Managing Innovation, Design and Creativity, John Wiley & Sons, 2008G.A. Moore: Crossing the Chasm, Harper Collins Publishers, 2002G. Hamel & C.K: Prahalad: Competing for the Future, Harvard Business School Press, 1994OECD: Science, Technology and Industry Scoreboard 2017 http://www.oecd.org/sti/oecd-science-technology-and-industry-scoreboard-20725345.htm Availability",Innovation Processes in Transition,E706,Students must have an interest to learn these things,via Weboodi,2018-10-30,,Erkki OrmalaTaina Tukiainen,['Erkki Ormala'],"Period II (2018-2019), Töölö campusPeriod II (2019-2020), Otaniemi campus",course,18h Participation in the course sessions;60h reading the background material82h writing a 8 page essay on selected and approved topic (about 3000 words) (2018-2019 and 2019-2020)
